project,start_date,end_date,project_cycle_days
.NET_Ant_Library,2005-04-15,2025-06-09,7361
Accumulo,2011-10-04,2025-10-31,5142
Airavata,2011-07-09,2025-10-20,5218
Ant,2000-01-13,2025-08-19,9351
AntUnit,2005-04-15,2022-02-13,6149
Any23,2008-12-18,2022-06-03,4916
Apex,2012-06-06,2021-04-09,3230
Arrow,2016-02-05,2025-11-04,3561
Axiom,2006-02-01,2025-11-03,7216
Axis2,2004-09-02,2025-11-03,7733
BVal,2010-03-12,2025-03-17,5485
Bigtop,2011-07-19,2025-07-16,5112
Brooklyn,2011-06-10,2025-09-17,5214
Calcite,2012-04-19,2025-11-01,4945
CarbonData,2016-03-02,2025-11-04,3535
Chainsaw,2000-12-14,2014-11-20,5090
Chemistry,2009-04-30,2010-07-29,456
Chukwa,2008-08-12,2019-03-31,3884
Clerezza,2009-11-30,2022-05-20,4555
Click,2004-12-29,2015-09-14,3912
Cocoon,2003-02-27,2023-10-29,7550
Commons-BCEL,2001-10-29,2025-11-02,8771
Commons-BSF,2002-11-01,2025-11-02,8403
Commons-BeanUtils,2001-03-27,2025-11-02,8987
Commons-CLI,2002-06-10,2025-11-02,8547
Commons-CSV,2005-12-17,2025-11-02,7261
Commons-Chain,2003-08-11,2025-06-27,7992
Commons-Codec,2003-04-25,2025-11-02,8228
Commons-Collections,2001-04-14,2025-11-02,8969
Commons-Crypto,2015-03-27,2025-11-01,3873
Commons-DBCP,2001-04-14,2025-11-02,8969
Commons-Daemon,2003-09-04,2025-11-02,8096
Commons-Digester,2001-05-03,2025-11-02,8950
Commons-Email,2004-11-25,2025-11-02,7648
Commons-Exec,2005-07-29,2025-11-01,7401
Commons-FileUpload,2002-03-24,2025-11-02,8625
Commons-Functor,2003-01-27,2025-03-22,8091
Commons-Geometry,2018-04-07,2025-11-02,2767
Commons-Imaging,2007-10-06,2025-11-02,6603
Commons-JCI,2005-01-03,2025-11-02,7609
Commons-JCS,2002-04-07,2025-11-02,8611
Commons-JEXL,2002-04-26,2025-11-01,8591
Commons-JXPath,2001-08-23,2025-11-02,8838
Commons-Jelly,2002-02-11,2025-11-02,8666
