project,java_files,classes,methods,total_loc,java_loc
.NET_Ant_Library,22,38,488,16444,6637
Accumulo,2344,6409,42318,1742004,634886
Airavata,929,1353,9346,1980819,128733
Ant,1333,3065,19523,1131314,287941
AntUnit,37,61,477,17590,5368
Any23,439,625,3816,461120,54127
Apex,474,1330,6121,269418,107595
Arrow,0,0,0,3324011,0
Axiom,2045,2291,9542,442548,149125
Axis2,2959,5165,30205,1430223,498539
BVal,322,792,2230,77332,37577
Bigtop,183,208,739,878710,13893
Brooklyn,0,0,0,13013,0
Calcite,2550,5511,45050,1788961,687365
CarbonData,1142,1634,14438,1324669,213117
Chainsaw,189,381,2555,77293,43808
Chemistry,0,0,0,34220,0
Chukwa,469,670,3164,759458,64821
Clerezza,246,346,1914,283926,26758
Click,461,1041,5865,1197062,113085
Cocoon,2811,4465,26964,3960344,487610
Commons-BCEL,654,1779,6868,282101,89162
Commons-BSF,78,261,756,98916,11383
Commons-BeanUtils,293,732,4088,148820,54437
Commons-CLI,87,150,1167,71313,20090
Commons-CSV,54,78,1061,628173,16588
Commons-Chain,153,228,1415,46043,18956
Commons-Codec,161,299,2945,128249,46342
Commons-Collections,659,1371,8780,371519,140048
Commons-Crypto,103,192,1083,56222,15000
Commons-DBCP,147,255,4487,136388,49970
Commons-Daemon,19,47,190,60592,3582
Commons-Digester,316,679,2495,116671,40819
Commons-Email,113,150,1498,69235,20855
Commons-Exec,69,87,473,56446,8799
Commons-FileUpload,95,141,1079,63349,15156
Commons-Functor,396,501,2769,94656,43063
Commons-Geometry,482,935,8058,240115,135362
Commons-Imaging,626,822,4446,817130,71430
Commons-JCI,78,132,553,36059,7676
Commons-JCS,576,762,4403,378657,99192
Commons-JEXL,223,949,4719,162851,64353
Commons-JXPath,248,397,2856,87274,38561
Commons-Jelly,595,877,4577,176435,62740
Commons-Lang,526,2223,11872,484169,189295
Commons-Logging,81,801,921,54269,14139
Commons-Math,1087,1875,13944,589857,242767
Commons-Net,314,562,3722,175302,57638
Commons-Numbers,273,631,6596,430858,113968
Commons-OGNL,305,482,1810,63756,34229
Commons-Pool,125,355,1771,121639,30709
Commons-Proxy,104,256,618,28722,10560
Commons-RDF,167,227,1524,64590,20047
Commons-RNG,424,1063,6021,1310776,98725
Commons-SCXML,185,292,1842,88780,27641
Commons-Statistics,347,1062,5202,178467,85042
Commons-VFS,590,765,5182,225811,78260
Commons-Validator,163,281,2068,139911,35337
Commons-Weaver,115,192,599,34929,10627
Compress-Ant-Library,104,128,723,39875,9858
Cordova,0,0,0,59797,0
Curator,708,864,5544,205623,90335
Daffodil,107,155,402,1949104,8768
DataFu,261,384,2680,315051,44919
DeltaSpike,1713,2374,7429,275776,139400
Derby,2864,6751,68084,2540162,1240108
DirectMemory,169,179,1279,86280,20515
Directory,1512,2173,16674,907688,377894
Directory-Server,1273,1662,14508,1761251,318670
Directory-Studio,1853,3257,18849,5625360,398105
Doris,6097,8384,75547,17517094,1080149
Drill,4687,9399,63594,2106259,950572
Dubbo,4014,5412,32369,1076503,474116
Empire-db,466,1129,9243,275680,109035
Etch,422,742,6936,385201,95824
FOP,2087,4072,25771,4555749,382850
Felix,0,0,0,861432,0
Fluo,293,502,2793,97785,42659
Fluo-Recipes,96,192,750,22593,11887
Fluo-YARN,3,4,30,3402,399
Forrest,252,323,1850,4442668,32491
Fortress,334,977,4761,290822,126707
FreeMarker,912,2044,11469,434023,152158
FtpServer,333,364,2626,112324,42024
Geronimo,3516,4837,31355,2186709,426910
Gora,657,1015,5602,219604,88058
Groovy,1806,4703,25524,2843304,358534
Guacamole,841,1020,6254,507722,112519
Hama,427,877,5081,576826,76157
Harmony,7607,17829,120134,3062851,1791815
Ivy,667,963,8922,546994,119722
IvyDE,210,256,1746,175759,25925
JAMES,6056,8622,53340,2861035,757002
JDO,1080,2465,9646,1223230,223788
JMeter,1395,2348,15833,1758284,245433
Karaf,1630,2073,12403,973690,195444
Kerby,951,1235,7233,484968,97974
Knox,1685,2256,14235,767957,231444
Lenya,667,806,5785,1494679,86413
Lingo,1860,2488,16408,840058,282861
Log4j,2563,4524,21992,1693306,344976
Lucene-Core,5948,9876,81108,7660138,1326911
MRUnit,79,174,1193,29765,16609
Mahout,0,0,0,663255,0
Marmotta,1544,2029,13666,755908,234344
Maven-Doxia,155,361,2664,148183,39163
MetaModel,813,910,7158,216435,99991
NetBeans,39141,89658,532283,26593913,7941930
Nutch,605,825,4991,1241938,96927
ODE,1237,1772,11469,612861,152387
OFBiz,1149,2205,19300,7240057,368106
Oltu-Parent,247,267,1317,51094,21875
