csum%,% Lv0,% Lv1,% Lv2
1%,0%,0%,0%
2%,0%,0%,0%
3%,0%,0%,0%
4%,0%,0%,0%
4%,0%,0%,0%
5%,13%,0%,0%
6%,16%,0%,0%
7%,25%,0%,0%
8%,26%,0%,0%
9%,27%,0%,0%
10%,28%,0%,0%
11%,31%,0%,0%
12%,31%,0%,0%
13%,32%,0%,0%
13%,38%,0%,0%
14%,45%,0%,0%
15%,46%,0%,0%
16%,48%,0%,0%
17%,52%,0%,0%
18%,52%,14%,0%
19%,53%,22%,0%
20%,56%,25%,0%
21%,56%,28%,0%
21%,57%,29%,0%
22%,57%,30%,0%
23%,57%,33%,0%
24%,59%,36%,0%
25%,60%,38%,0%
26%,60%,38%,0%
27%,60%,38%,0%
28%,61%,38%,0%
29%,61%,40%,0%
29%,61%,42%,0%
30%,62%,43%,0%
31%,64%,47%,0%
32%,64%,48%,0%
33%,64%,49%,0%
34%,65%,50%,0%
35%,65%,50%,0%
36%,65%,50%,0%
37%,65%,50%,0%
38%,66%,50%,0%
38%,67%,50%,0%
39%,69%,51%,0%
40%,70%,51%,0%
41%,70%,51%,0%
42%,70%,52%,0%
43%,70%,53%,0%
44%,71%,54%,0%
45%,73%,55%,0%
46%,74%,55%,0%
46%,75%,56%,0%
47%,75%,56%,0%
48%,75%,57%,0%
49%,75%,59%,0%
50%,76%,59%,0%
51%,77%,59%,0%
52%,77%,60%,0%
53%,78%,60%,0%
54%,78%,60%,0%
54%,78%,60%,0%
55%,78%,61%,0%
56%,79%,61%,0%
57%,80%,62%,0%
58%,81%,63%,0%
59%,81%,63%,0%
60%,82%,63%,0%
61%,82%,64%,1%
62%,83%,64%,1%
63%,83%,64%,1%
63%,83%,65%,1%
64%,83%,65%,2%
65%,83%,66%,2%
66%,84%,66%,2%
67%,86%,66%,2%
68%,86%,67%,3%
69%,86%,67%,3%
70%,86%,68%,3%
71%,86%,69%,3%
71%,88%,71%,3%
72%,88%,71%,3%
73%,88%,71%,4%
74%,89%,72%,4%
75%,90%,72%,5%
76%,91%,72%,5%
77%,91%,73%,5%
78%,91%,73%,5%
79%,92%,73%,5%
79%,93%,75%,5%
80%,94%,76%,5%
81%,94%,76%,5%
82%,94%,78%,6%
83%,97%,79%,6%
84%,97%,79%,6%
85%,98%,79%,7%
86%,99%,79%,7%
87%,100%,80%,7%
88%,100%,82%,7%
88%,100%,83%,8%
89%,100%,83%,8%
90%,100%,86%,10%
91%,100%,90%,10%
92%,100%,91%,11%
93%,100%,100%,12%
94%,100%,100%,14%
95%,100%,100%,14%
96%,100%,100%,15%
96%,100%,100%,16%
97%,100%,100%,16%
98%,100%,100%,21%
99%,100%,100%,29%
100%,100%,100%,50%
