Project,Slope,P-value,R²,Std.Dev,Trend
ActiveMQ,-0.014,0.0283,0.471,0.048,Decreasing
Ambari,0.0013,0.6313,0.035,0.029,Stable
Any23,-0.0107,0.0213,0.771,0.017,Decreasing
Apex,-0.0429,0.5456,0.429,0.15,Fluctuating
Archiva,0.0206,0.3226,0.162,0.166,Fluctuating
Aries,0.0149,0.0455,0.457,0.058,Increasing
Avro,-0.0,0.9996,-inf,0.0,Stable
Axiom,-0.0,0.9985,-inf,0.0,Stable
Axis2,-0.0,0.9985,-inf,0.0,Stable
Beam,-0.0068,0.0274,0.475,0.019,Decreasing
BookKeeper,-0.021,0.165,0.226,0.099,Fluctuating
BVal,-0.0,0.9955,-inf,0.0,Stable
Calcite,0.0127,0.072,0.39,0.059,Fluctuating
Camel,0.0103,0.0772,0.339,0.05,Fluctuating
Cassandra,-0.0207,0.2447,0.317,0.073,Fluctuating
Causeway,-0.1579,0.0007,0.918,0.159,Fluctuating
Cayenne,-0.0053,0.0079,0.607,0.013,Decreasing
Clerezza,-0.0058,0.1333,0.751,0.016,Stable
CloudStack,0.0006,0.8612,0.004,0.025,Stable
Commons-Compress,0.0092,0.7866,0.021,0.289,Fluctuating
Commons-Configuration,0.0006,0.3333,0.75,0.001,Stable
Commons-DbUtils,0.0024,0.3378,0.153,0.013,Stable
Commons-IO,0.0014,0.1186,0.415,0.004,Stable
Commons-Text,-0.0,0.8995,-inf,0.0,Stable
Commons-VFS,-0.0,0.9996,-inf,0.0,Stable
Crunch,-0.0028,0.7864,0.028,0.044,Stable
Curator,-0.0,0.8513,-inf,0.0,Stable
CXF,0.1501,0.0189,0.7,0.286,Fluctuating
DeltaSpike,0.0,0.9923,-inf,0.0,Stable
Drill,0.0096,0.0766,0.341,0.045,Fluctuating
Druid,0.0932,0.0125,0.823,0.084,Fluctuating
Dubbo,0.0087,0.0374,0.541,0.026,Increasing
Empire-db,-0.0,0.9985,-inf,0.0,Stable
