Year,ActiveMQ,Ambari,Any23,Apex,Archiva,Aries,Avro,Axiom,Axis2,Beam,BookKeeper,BVal,Calcite,Camel,Cassandra,Causeway,Cayenne,Clerezza,CloudStack,Commons-Compress,Commons-Configuration,Commons-DbUtils,Commons-IO,Commons-Text,Commons-VFS,Crunch,Curator,CXF,DeltaSpike,Drill,Druid,Dubbo,Empire-db,EventMesh,Falcon,Felix,Fineract,Flink,Flume,FOP,Geode,Giraph,Gobblin,Hadoop,HBase,Helix,Hive,Hop,HttpComponents-Client,HttpComponents-Core,Hudi,Iceberg,Ignite,Impala,InLong,IoTDB,Jackrabbit,JAMES,Jena,Kerby,Knox,Kylin,Lens,Lingo,Linkis,Log4j,Lucene-Core,ManifoldCF,Maven,MyFaces,NiFi,OFBiz,Oozie,ORC,Ozone,Parquet,PDFBox,Phoenix,Pig,Pinot,PLC4X,POI,Polygene,Pulsar,Qpid,Ranger,Rat,REEF,Shiro,SkyWalking,Solr,Spark,Sqoop,SSHD,Storm,Struts,Submarine,Syncope,Tez,Thrift,Tika,TomEE,TsFile,Turbine,UIMA,Wicket,XML-Graphics-Commons,Yetus,Zeppelin,ZooKeeper
Year1,52%,88%,88%,100%,21%,84%,100%,100%,100%,72%,100%,100%,82%,25%,100%,100%,97%,83%,66%,100%,94%,63%,96%,100%,100%,69%,100%,17%,100%,75%,15%,72%,100%,14%,32%,73%,88%,96%,58%,86%,76%,83%,93%,91%,88%,100%,67%,76%,43%,92%,100%,100%,100%,100%,85%,4%,100%,70%,60%,100%,100%,43%,100%,97%,100%,52%,75%,81%,65%,36%,89%,100%,100%,82%,72%,100%,100%,88%,100%,100%,49%,100%,100%,70%,71%,79%,70%,30%,97%,8%,75%,71%,50%,100%,54%,100%,86%,44%,92%,25%,100%,20%,100%,42%,100%,88%,48%,100%,89%,82%
Year2,52%,81%,88%,70%,25%,80%,100%,100%,100%,68%,100%,100%,100%,39%,83%,100%,93%,80%,62%,100%,94%,63%,96%,100%,100%,61%,100%,4%,100%,77%,38%,68%,100%,63%,31%,74%,50%,98%,56%,87%,57%,85%,90%,92%,86%,100%,71%,73%,41%,92%,100%,100%,100%,100%,90%,7%,100%,61%,71%,100%,100%,43%,95%,98%,48%,48%,81%,88%,73%,33%,79%,79%,40%,82%,78%,100%,100%,84%,100%,92%,40%,100%,100%,75%,71%,69%,78%,30%,97%,15%,81%,73%,68%,100%,65%,100%,83%,46%,92%,25%,100%,14%,100%,42%,100%,86%,48%,100%,63%,82%
Year3,54%,81%,88%,70%,25%,97%,100%,100%,100%,67%,74%,100%,100%,43%,85%,83%,91%,80%,60%,50%,94%,61%,96%,100%,100%,62%,100%,7%,100%,90%,54%,71%,100%,46%,31%,78%,35%,98%,56%,86%,57%,85%,89%,91%,87%,100%,72%,73%,42%,89%,100%,89%,94%,100%,66%,75%,67%,55%,71%,100%,100%,38%,94%,98%,41%,46%,81%,88%,55%,60%,79%,59%,50%,80%,78%,100%,100%,84%,100%,84%,51%,100%,100%,73%,71%,65%,100%,46%,89%,18%,81%,74%,49%,100%,65%,100%,30%,46%,92%,25%,100%,14%,100%,42%,100%,86%,48%,100%,57%,81%
Year4,56%,86%,83%,,9%,97%,100%,100%,100%,67%,63%,100%,100%,40%,81%,76%,91%,80%,60%,50%,,61%,96%,100%,100%,66%,100%,7%,100%,88%,61%,72%,100%,30%,,76%,35%,98%,66%,87%,67%,86%,89%,91%,87%,100%,72%,73%,44%,88%,44%,91%,92%,100%,48%,82%,67%,59%,71%,100%,,,94%,98%,41%,46%,77%,88%,56%,60%,78%,74%,56%,80%,75%,100%,100%,79%,100%,82%,65%,100%,,75%,73%,64%,,46%,86%,18%,77%,75%,56%,100%,64%,100%,57%,49%,92%,25%,100%,14%,,51%,,82%,48%,100%,69%,84%
Year5,56%,86%,83%,,9%,97%,,100%,100%,64%,64%,100%,100%,41%,83%,30%,91%,,59%,91%,,61%,96%,100%,,66%,100%,81%,100%,86%,63%,76%,100%,31%,,,35%,95%,66%,87%,68%,86%,91%,91%,83%,66%,74%,72%,44%,89%,48%,92%,91%,100%,48%,82%,67%,58%,71%,100%,,,,99%,59%,45%,73%,89%,75%,60%,74%,74%,59%,80%,75%,100%,100%,77%,100%,93%,66%,100%,,77%,73%,64%,,46%,86%,17%,73%,79%,56%,100%,64%,83%,57%,50%,92%,25%,100%,14%,,51%,,82%,48%,,64%,84%
Year6,56%,86%,83%,,47%,97%,,100%,100%,62%,64%,100%,100%,42%,86%,31%,91%,,59%,94%,,62%,96%,100%,,,100%,81%,100%,86%,64%,76%,100%,,,,33%,95%,70%,87%,70%,86%,91%,91%,83%,67%,75%,75%,41%,88%,35%,92%,93%,100%,57%,83%,67%,58%,71%,100%,,,,99%,,42%,,89%,76%,70%,73%,74%,59%,80%,70%,100%,,75%,100%,83%,51%,100%,,80%,73%,64%,,46%,,52%,71%,81%,,93%,64%,83%,,53%,92%,25%,100%,14%,,57%,,82%,48%,,62%,86%
Year7,42%,86%,,,32%,97%,,100%,100%,62%,76%,,100%,40%,,16%,91%,,58%,,,65%,97%,,,,100%,81%,100%,87%,,76%,100%,,,,15%,95%,68%,87%,71%,86%,91%,91%,83%,69%,77%,,47%,85%,41%,92%,89%,100%,,,67%,61%,71%,100%,,,,99%,,49%,,88%,78%,70%,73%,71%,59%,84%,70%,100%,,77%,100%,89%,56%,100%,,81%,75%,66%,,,,53%,67%,82%,,93%,64%,88%,,,92%,25%,100%,14%,,58%,,82%,48%,,59%,86%
Year8,42%,86%,,,32%,97%,,100%,100%,64%,75%,,100%,41%,,,90%,,64%,,,65%,,,,,100%,,100%,87%,,74%,100%,,,,57%,98%,64%,87%,70%,,90%,91%,82%,71%,76%,,49%,80%,51%,,91%,,,,67%,61%,88%,100%,,,,99%,,56%,,88%,,,65%,71%,61%,86%,77%,100%,,75%,100%,81%,61%,100%,,83%,76%,68%,,,,52%,59%,85%,,91%,66%,79%,,,92%,,100%,14%,,58%,,81%,48%,,63%,87%
Year9,42%,84%,,,,97%,,100%,100%,65%,75%,,100%,38%,,,90%,,63%,,,,,,,,,,100%,87%,,,100%,,,,63%,98%,,88%,70%,,90%,91%,83%,72%,76%,,51%,80%,64%,,91%,,,,89%,62%,77%,100%,,,,99%,,56%,,88%,,,62%,71%,61%,86%,,100%,,79%,,81%,,,,82%,77%,67%,,,,55%,58%,81%,,89%,64%,73%,,,92%,,75%,13%,,60%,,81%,48%,,64%,87%
Year10,45%,,,,,,,100%,100%,65%,75%,,,45%,,,90%,,65%,,,,,,,,,,,87%,,,100%,,,,57%,98%,,88%,,,86%,91%,83%,73%,75%,,52%,79%,,,91%,,,,93%,62%,74%,,,,,99%,,,,88%,,,61%,,,,,100%,,78%,,83%,,,,,78%,77%,,,,,61%,81%,,89%,65%,69%,,,92%,,75%,13%,,60%,,82%,48%,,70%,88%
