Project,FromLevel,ToLevel,InputMockCount,OutputMockCount,CCTRReduction,CCTRReductionPerTest,AffectedTestsCCTR,ReductionRatio,ReductionRatio_num,ecdf_x,ecdf_y
ActiveMQ,0,2,2,1,-6,-3.0,24,-25%,-0.25,0.4,-0.25
ActiveMQ,0,1,2,1,0,0.0,11,0%,0.0,1.0,0.0
ActiveMQ,0,2,2,1,-4,-2.0,36,-11%,-0.11,0.8,-0.11
ActiveMQ,0,1,2,1,-14,-7.0,16,-88%,-0.88,0.2,-0.88
ActiveMQ,0,1,2,1,-2,-1.0,14,-14%,-0.14,0.6,-0.14
Ambari,0,1,14,1,-14,-1.0,104,-13%,-0.13,0.3918918918918919,-0.13
Ambari,0,1,2,1,-2,-1.0,10,-20%,-0.2,0.24324324324324326,-0.2
Ambari,0,1,9,1,-27,-3.0,124,-22%,-0.22,0.17567567567567569,-0.22
Ambari,0,1,6,1,-18,-3.0,137,-13%,-0.13,0.40540540540540543,-0.13
Ambari,0,1,2,1,0,0.0,5,0%,0.0,0.918918918918919,0.0
Ambari,0,1,4,1,0,0.0,4,0%,0.0,0.9324324324324325,0.0
Ambari,0,1,3,1,-9,-3.0,45,-20%,-0.2,0.25675675675675674,-0.2
Ambari,0,1,9,1,-27,-3.0,124,-22%,-0.22,0.1891891891891892,-0.22
Ambari,0,1,8,1,-16,-2.0,64,-25%,-0.25,0.14864864864864866,-0.25
Ambari,0,1,2,1,-2,-1.0,132,-2%,-0.02,0.8243243243243243,-0.02
Ambari,0,1,2,1,-6,-3.0,85,-7%,-0.07,0.6081081081081081,-0.07
Ambari,0,2,15,1,-95,-6.333333333,1074,-9%,-0.09,0.5540540540540541,-0.09
Ambari,0,2,8,1,-24,-3.0,230,-10%,-0.1,0.527027027027027,-0.1
Ambari,0,1,4,1,-4,-1.0,121,-3%,-0.03,0.7837837837837838,-0.03
Ambari,0,1,3,1,0,0.0,6,0%,0.0,0.9459459459459459,0.0
Ambari,0,1,2,1,-6,-3.0,34,-18%,-0.18,0.2702702702702703,-0.18
Ambari,0,1,2,1,-6,-3.0,34,-18%,-0.18,0.28378378378378377,-0.18
Ambari,0,1,2,1,-4,-2.0,4,-100%,-1.0,0.013513513513513514,-1.0
Ambari,0,1,2,1,-6,-3.0,85,-7%,-0.07,0.6216216216216216,-0.07
Ambari,0,1,16,1,-82,-5.125,1112,-7%,-0.07,0.6351351351351351,-0.07
Ambari,0,1,2,1,-7,-3.5,116,-6%,-0.06,0.7162162162162162,-0.06
Ambari,0,2,12,1,-84,-7.0,402,-21%,-0.21,0.22972972972972974,-0.21
Ambari,0,2,5,1,-15,-3.0,63,-24%,-0.24,0.16216216216216217,-0.24
Ambari,0,1,2,1,-6,-3.0,85,-7%,-0.07,0.6486486486486487,-0.07
Ambari,0,1,2,1,-6,-3.0,85,-7%,-0.07,0.6621621621621622,-0.07
Ambari,0,1,4,1,0,0.0,15,0%,0.0,0.9594594594594594,0.0
Ambari,0,1,2,1,-2,-1.0,7,-29%,-0.29,0.10810810810810811,-0.29
Ambari,0,1,18,1,-90,-5.0,964,-9%,-0.09,0.5675675675675675,-0.09
Ambari,0,1,5,1,-15,-3.0,326,-5%,-0.05,0.7297297297297297,-0.05
Ambari,0,2,2,1,-8,-4.0,85,-9%,-0.09,0.581081081081081,-0.09
Ambari,0,1,5,1,-5,-1.0,43,-12%,-0.12,0.4189189189189189,-0.12
Ambari,0,2,9,1,-45,-5.0,170,-26%,-0.26,0.12162162162162163,-0.26
Ambari,0,1,2,1,-6,-3.0,9,-67%,-0.67,0.04054054054054054,-0.67
Ambari,0,1,21,1,-21,-1.0,1290,-2%,-0.02,0.8378378378378378,-0.02
Ambari,0,1,4,1,-20,-5.0,40,-50%,-0.5,0.05405405405405406,-0.5
Ambari,0,1,18,1,-18,-1.0,1169,-2%,-0.02,0.8513513513513513,-0.02
Ambari,0,1,8,1,-16,-2.0,62,-26%,-0.26,0.13513513513513514,-0.26
Ambari,0,2,21,1,-155,-7.380952381,1290,-12%,-0.12,0.43243243243243246,-0.12
Ambari,0,1,2,1,0,0.0,2,0%,0.0,0.972972972972973,0.0
Ambari,0,1,5,1,-10,-2.0,388,-3%,-0.03,0.7972972972972973,-0.03
Ambari,0,1,3,1,0,0.0,92,0%,0.0,0.9864864864864865,0.0
Ambari,0,1,2,1,-4,-2.0,24,-17%,-0.17,0.2972972972972973,-0.17
Ambari,0,1,9,1,-9,-1.0,124,-7%,-0.07,0.6756756756756757,-0.07
Ambari,0,1,7,1,-7,-1.0,59,-12%,-0.12,0.44594594594594594,-0.12
Ambari,0,1,8,1,-8,-1.0,68,-12%,-0.12,0.4594594594594595,-0.12
Ambari,0,1,5,1,-5,-1.0,30,-17%,-0.17,0.3108108108108108,-0.17
Ambari,0,1,3,1,-3,-1.0,19,-16%,-0.16,0.32432432432432434,-0.16
Ambari,0,1,2,1,-4,-2.0,49,-8%,-0.08,0.5945945945945946,-0.08
Ambari,0,1,6,1,-6,-1.0,137,-4%,-0.04,0.7567567567567568,-0.04
Ambari,0,1,18,1,-18,-1.0,1053,-2%,-0.02,0.8648648648648649,-0.02
Ambari,0,1,5,1,-11,-2.2,90,-12%,-0.12,0.47297297297297297,-0.12
Ambari,0,1,8,1,-8,-1.0,58,-14%,-0.14,0.33783783783783783,-0.14
Ambari,0,1,6,1,0,0.0,18,0%,0.0,1.0,0.0
Ambari,0,1,2,1,-2,-1.0,14,-14%,-0.14,0.35135135135135137,-0.14
Ambari,0,1,4,1,-8,-2.0,37,-22%,-0.22,0.20270270270270271,-0.22
Ambari,0,1,2,1,-2,-1.0,85,-2%,-0.02,0.8783783783783784,-0.02
Ambari,0,1,17,1,-87,-5.117647059,1169,-7%,-0.07,0.6891891891891891,-0.07
Ambari,0,1,23,1,-69,-3.0,170,-41%,-0.41,0.06756756756756757,-0.41
Ambari,0,2,3,1,-9,-3.0,218,-4%,-0.04,0.7702702702702703,-0.04
Ambari,0,2,4,1,-3,-0.75,226,-1%,-0.01,0.9054054054054054,-0.01
Ambari,0,2,44,1,-44,-1.0,2052,-2%,-0.02,0.8918918918918919,-0.02
Ambari,0,2,24,1,-120,-5.0,1002,-12%,-0.12,0.4864864864864865,-0.12
Ambari,0,2,9,1,-27,-3.0,81,-33%,-0.33,0.08108108108108109,-0.33
Ambari,0,2,15,1,-59,-3.933333333,489,-12%,-0.12,0.5,-0.12
Ambari,0,1,2,1,-22,-11.0,28,-79%,-0.79,0.02702702702702703,-0.79
Ambari,0,1,9,1,-27,-3.0,124,-22%,-0.22,0.21621621621621623,-0.22
Ambari,0,1,3,1,-9,-3.0,29,-31%,-0.31,0.0945945945945946,-0.31
Ambari,0,1,6,1,-6,-1.0,54,-11%,-0.11,0.5135135135135135,-0.11
Ambari,0,2,18,1,-54,-3.0,1053,-5%,-0.05,0.7432432432432432,-0.05
Ambari,0,1,4,1,-4,-1.0,29,-14%,-0.14,0.36486486486486486,-0.14
Ambari,0,1,4,1,-4,-1.0,29,-14%,-0.14,0.3783783783783784,-0.14
Ambari,0,2,9,1,-40,-4.444444444,402,-10%,-0.1,0.5405405405405406,-0.1
Ambari,0,2,7,1,-12,-1.714285714,402,-3%,-0.03,0.8108108108108109,-0.03
Ambari,0,1,2,1,-6,-3.0,85,-7%,-0.07,0.7027027027027027,-0.07
Apex,0,1,2,1,-2,-1.0,4,-50%,-0.5,1.0,-0.5
Archiva,0,1,6,1,-42,-7.0,92,-46%,-0.46,0.5,-0.46
Archiva,0,1,6,1,-18,-3.0,92,-20%,-0.2,1.0,-0.2
Aries,0,2,6,1,-18,-3.0,90,-20%,-0.2,0.4444444444444444,-0.2
Aries,0,2,3,1,-15,-5.0,21,-71%,-0.71,0.022222222222222223,-0.71
