Project,FromLevel,ToLevel,InputMockCount,OutputMockCount,CCTRReduction,CCTRReductionPerTest,AffectedTestsCCTR,ReductionRatio
ActiveMQ,0,2,2,1,-6,-3,24,-25%
ActiveMQ,0,1,2,1,0,0,11,0%
ActiveMQ,0,2,2,1,-4,-2,36,-11%
ActiveMQ,0,1,2,1,-14,-7,16,-88%
ActiveMQ,0,1,2,1,-2,-1,14,-14%
Ambari,0,1,14,1,-14,-1,104,-13%
Ambari,0,1,2,1,-2,-1,10,-20%
Ambari,0,1,9,1,-27,-3,124,-22%
Ambari,0,1,6,1,-18,-3,137,-13%
Ambari,0,1,2,1,0,0,5,0%
Ambari,0,1,4,1,0,0,4,0%
Ambari,0,1,3,1,-9,-3,45,-20%
Ambari,0,1,9,1,-27,-3,124,-22%
Ambari,0,1,8,1,-16,-2,64,-25%
Ambari,0,1,2,1,-2,-1,132,-2%
Ambari,0,1,2,1,-6,-3,85,-7%
Ambari,0,2,15,1,-95,-6.333333333,1074,-9%
Ambari,0,2,8,1,-24,-3,230,-10%
Ambari,0,1,4,1,-4,-1,121,-3%
Ambari,0,1,3,1,0,0,6,0%
Ambari,0,1,2,1,-6,-3,34,-18%
Ambari,0,1,2,1,-6,-3,34,-18%
Ambari,0,1,2,1,-4,-2,4,-100%
Ambari,0,1,2,1,-6,-3,85,-7%
Ambari,0,1,16,1,-82,-5.125,1112,-7%
Ambari,0,1,2,1,-7,-3.5,116,-6%
Ambari,0,2,12,1,-84,-7,402,-21%
Ambari,0,2,5,1,-15,-3,63,-24%
Ambari,0,1,2,1,-6,-3,85,-7%
Ambari,0,1,2,1,-6,-3,85,-7%
Ambari,0,1,4,1,0,0,15,0%
Ambari,0,1,2,1,-2,-1,7,-29%
Ambari,0,1,18,1,-90,-5,964,-9%
Ambari,0,1,5,1,-15,-3,326,-5%
Ambari,0,2,2,1,-8,-4,85,-9%
Ambari,0,1,5,1,-5,-1,43,-12%
Ambari,0,2,9,1,-45,-5,170,-26%
Ambari,0,1,2,1,-6,-3,9,-67%
Ambari,0,1,21,1,-21,-1,1290,-2%
Ambari,0,1,4,1,-20,-5,40,-50%
Ambari,0,1,18,1,-18,-1,1169,-2%
Ambari,0,1,8,1,-16,-2,62,-26%
Ambari,0,2,21,1,-155,-7.380952381,1290,-12%
Ambari,0,1,2,1,0,0,2,0%
Ambari,0,1,5,1,-10,-2,388,-3%
Ambari,0,1,3,1,0,0,92,0%
Ambari,0,1,2,1,-4,-2,24,-17%
Ambari,0,1,9,1,-9,-1,124,-7%
Ambari,0,1,7,1,-7,-1,59,-12%
Ambari,0,1,8,1,-8,-1,68,-12%
Ambari,0,1,5,1,-5,-1,30,-17%
Ambari,0,1,3,1,-3,-1,19,-16%
Ambari,0,1,2,1,-4,-2,49,-8%
Ambari,0,1,6,1,-6,-1,137,-4%
Ambari,0,1,18,1,-18,-1,1053,-2%
Ambari,0,1,5,1,-11,-2.2,90,-12%
Ambari,0,1,8,1,-8,-1,58,-14%
Ambari,0,1,6,1,0,0,18,0%
Ambari,0,1,2,1,-2,-1,14,-14%
Ambari,0,1,4,1,-8,-2,37,-22%
Ambari,0,1,2,1,-2,-1,85,-2%
Ambari,0,1,17,1,-87,-5.117647059,1169,-7%
Ambari,0,1,23,1,-69,-3,170,-41%
Ambari,0,2,3,1,-9,-3,218,-4%
Ambari,0,2,4,1,-3,-0.75,226,-1%
Ambari,0,2,44,1,-44,-1,2052,-2%
Ambari,0,2,24,1,-120,-5,1002,-12%
Ambari,0,2,9,1,-27,-3,81,-33%
Ambari,0,2,15,1,-59,-3.933333333,489,-12%
Ambari,0,1,2,1,-22,-11,28,-79%
Ambari,0,1,9,1,-27,-3,124,-22%
Ambari,0,1,3,1,-9,-3,29,-31%
Ambari,0,1,6,1,-6,-1,54,-11%
Ambari,0,2,18,1,-54,-3,1053,-5%
Ambari,0,1,4,1,-4,-1,29,-14%
Ambari,0,1,4,1,-4,-1,29,-14%
Ambari,0,2,9,1,-40,-4.444444444,402,-10%
Ambari,0,2,7,1,-12,-1.714285714,402,-3%
Ambari,0,1,2,1,-6,-3,85,-7%
Apex,0,1,2,1,-2,-1,4,-50%
Archiva,0,1,6,1,-42,-7,92,-46%
Archiva,0,1,6,1,-18,-3,92,-20%
Aries,0,2,6,1,-18,-3,90,-20%
Aries,0,2,3,1,-15,-5,21,-71%
