Project,FromLevel,ToLevel,InputMockCount,OutputMockCount,CCTRReduction,CCTRReductionPerTest,AffectedTestsCCTR,ReductionRatio,ReductionRatio_num,ecdf_x,ecdf_y
ActiveMQ,1,0,1,2,2,1.0,26,8%,0.08,0.5,0.08
ActiveMQ,1,0,1,2,2,1.0,3,67%,0.67,1.0,0.67
Ambari,2,0,1,2,4,2.0,10,40%,0.4,0.8292682926829268,0.4
Ambari,2,0,1,1,1,1.0,184,1%,0.01,0.024390243902439025,0.01
Ambari,2,0,1,1,15,15.0,184,8%,0.08,0.4634146341463415,0.08
Ambari,1,0,1,2,1,0.5,14,7%,0.07,0.3170731707317073,0.07
Ambari,1,0,1,2,1,0.5,14,7%,0.07,0.34146341463414637,0.07
Ambari,2,0,1,1,6,6.0,8,75%,0.75,0.975609756097561,0.75
Ambari,2,0,1,2,2,1.0,53,4%,0.04,0.12195121951219512,0.04
Ambari,2,0,1,1,1,1.0,45,2%,0.02,0.04878048780487805,0.02
Ambari,1,0,1,2,1,0.5,6,17%,0.17,0.5853658536585366,0.17
Ambari,2,0,1,1,1,1.0,25,4%,0.04,0.14634146341463414,0.04
Ambari,2,0,1,1,1,1.0,25,4%,0.04,0.17073170731707318,0.04
Ambari,2,0,1,1,1,1.0,25,4%,0.04,0.1951219512195122,0.04
Ambari,2,0,1,3,3,1.0,70,4%,0.04,0.21951219512195122,0.04
Ambari,2,0,1,1,1,1.0,20,5%,0.05,0.2682926829268293,0.05
Ambari,1,0,1,2,4,2.0,56,7%,0.07,0.36585365853658536,0.07
Ambari,2,0,1,1,1,1.0,33,3%,0.03,0.07317073170731707,0.03
Ambari,2,0,1,1,1,1.0,33,3%,0.03,0.0975609756097561,0.03
Ambari,1,0,1,2,1,0.5,14,7%,0.07,0.3902439024390244,0.07
Ambari,1,0,1,2,1,0.5,14,7%,0.07,0.4146341463414634,0.07
Ambari,2,0,1,1,1,1.0,23,4%,0.04,0.24390243902439024,0.04
Ambari,1,0,1,2,1,0.5,11,9%,0.09,0.5121951219512195,0.09
Ambari,2,0,1,1,12,12.0,24,50%,0.5,0.9024390243902439,0.5
Ambari,1,0,1,1,5,5.0,24,21%,0.21,0.6097560975609756,0.21
Ambari,2,0,1,5,7,1.4,83,8%,0.08,0.4878048780487805,0.08
Ambari,2,0,1,5,31,6.2,83,37%,0.37,0.8048780487804879,0.37
Ambari,2,0,1,5,29,5.8,83,35%,0.35,0.7804878048780488,0.35
Ambari,2,0,1,7,7,1.0,78,9%,0.09,0.5365853658536586,0.09
Ambari,1,0,1,2,1,0.5,4,25%,0.25,0.6585365853658537,0.25
Ambari,2,0,1,1,1,1.0,7,14%,0.14,0.5609756097560976,0.14
Ambari,2,0,1,1,15,15.0,218,7%,0.07,0.43902439024390244,0.07
Ambari,2,0,1,1,4,4.0,19,21%,0.21,0.6341463414634146,0.21
Ambari,2,0,1,3,15,5.0,59,25%,0.25,0.6829268292682927,0.25
Ambari,2,0,1,1,2,2.0,5,40%,0.4,0.8536585365853658,0.4
Ambari,2,0,1,1,2,2.0,5,40%,0.4,0.8780487804878049,0.4
Ambari,2,0,1,2,4,2.0,14,29%,0.29,0.7560975609756098,0.29
Ambari,2,0,1,2,4,2.0,15,27%,0.27,0.7317073170731707,0.27
Ambari,2,0,1,2,10,5.0,15,67%,0.67,0.9512195121951219,0.67
Ambari,1,0,1,2,1,0.5,16,6%,0.06,0.2926829268292683,0.06
Ambari,2,0,1,2,6,3.0,12,50%,0.5,0.926829268292683,0.5
