Project,TotalMocks,L0_Count,L0_Ratio,L1_Count,L1_Ratio,L2_Count,L2_Ratio
CloudStack,10141,6545,0.6454,1580,0.1558,2016,0.1988
Geode,6750,4731,0.7009,1259,0.1865,760,0.1126
Hadoop,4681,4272,0.9126,300,0.0641,109,0.0233
Ranger,4138,3191,0.7711,445,0.1075,502,0.1213
NiFi,2456,1492,0.6075,520,0.2117,444,0.1808
Pulsar,2144,1764,0.8228,309,0.1441,71,0.0331
Beam,1859,1217,0.6547,349,0.1877,293,0.1576
Ozone,1458,1116,0.7654,219,0.1502,123,0.0844
Fineract,1421,813,0.5721,425,0.2991,183,0.1288
Pinot,1375,1142,0.8305,147,0.1069,86,0.0625
Qpid,1315,1021,0.7764,213,0.162,81,0.0616
Kylin,1293,488,0.3774,617,0.4772,188,0.1454
CXF,1265,1025,0.8103,161,0.1273,79,0.0625
Camel,1224,554,0.4526,437,0.357,233,0.1904
Hop,1164,876,0.7526,194,0.1667,94,0.0808
Tez,1045,962,0.9206,63,0.0603,20,0.0191
Hive,913,688,0.7536,148,0.1621,77,0.0843
HBase,872,725,0.8314,107,0.1227,40,0.0459
JAMES,784,488,0.6224,152,0.1939,144,0.1837
Gobblin,761,652,0.8568,65,0.0854,44,0.0578
Dubbo,760,541,0.7118,127,0.1671,92,0.1211
Ambari,741,624,0.8421,83,0.112,34,0.0459
Hudi,701,450,0.6419,153,0.2183,98,0.1398
Druid,633,407,0.643,149,0.2354,77,0.1216
Flink,579,570,0.9845,7,0.0121,2,0.0035
BookKeeper,536,404,0.7537,97,0.181,35,0.0653
Iceberg,491,450,0.9165,23,0.0468,18,0.0367
Lingo,478,471,0.9854,7,0.0146,0,0.0
IoTDB,354,294,0.8305,43,0.1215,17,0.048
Solr,322,197,0.6118,100,0.3106,25,0.0776
FOP,311,274,0.881,31,0.0997,6,0.0193
Storm,309,202,0.6537,83,0.2686,24,0.0777
Phoenix,286,222,0.7762,39,0.1364,25,0.0874
Commons-Configuration,267,251,0.9401,11,0.0412,5,0.0187
Aries,263,254,0.9658,3,0.0114,6,0.0228
