project,repository
Dubbo,https://github.com/apache/dubbo
JDO,https://github.com/apache/db-jdo.git
.NET Ant Library,https://github.com/apache/ant-antlibs-dotnet.git
Accumulo,https://github.com/apache/accumulo.git
ActiveMQ,https://github.com/apache/activemq.git
Airavata,https://github.com/apache/airavata.git
Ambari,https://github.com/apache/ambari.git
Ant,https://github.com/apache/ant.git
AntUnit,https://github.com/apache/ant-antlibs-antunit.git
Any23,https://github.com/apache/any23.git
Apex,https://github.com/apache/apex-core.git
Archiva,https://github.com/apache/archiva.git
Aries,https://github.com/apache/aries.git
Arrow,https://github.com/apache/arrow.git
Avro,https://github.com/apache/avro.git
Axiom,https://github.com/apache/ws-axiom.git
Axis2,https://github.com/apache/axis-axis2-java-core.git
Beam,https://github.com/apache/beam.git
Beehive,https://github.com/apache/beehive.git
Bigtop,https://github.com/apache/bigtop.git
BookKeeper,https://github.com/apache/bookkeeper.git
Brooklyn,https://github.com/apache/brooklyn.git
BVal,https://github.com/apache/bval.git
Calcite,https://github.com/apache/calcite.git
Camel,https://github.com/apache/camel.git
CarbonData,https://github.com/apache/carbondata.git
Cassandra,https://github.com/apache/cassandra.git
Causeway,https://github.com/apache/causeway.git
Cayenne,https://github.com/apache/cayenne.git
Chainsaw,https://github.com/apache/chainsaw.git
Chemistry,https://github.com/apache/chemistry.git
Chukwa,https://github.com/apache/chukwa.git
Clerezza,https://github.com/apache/clerezza.git
Click,https://github.com/apache/click.git
CloudStack,https://github.com/apache/cloudstack.git
Cocoon,https://github.com/apache/cocoon.git
Commons-BCEL,https://github.com/apache/commons-bcel.git
Commons-BeanUtils,https://github.com/apache/commons-beanutils.git
Commons-BSF,https://github.com/apache/commons-bsf.git
Commons-Chain,https://github.com/apache/commons-chain.git
Commons-CLI,https://github.com/apache/commons-cli.git
Commons-Codec,https://github.com/apache/commons-codec.git
Commons-Collections,https://github.com/apache/commons-collections.git
Commons-Compress,https://github.com/apache/commons-compress.git
Commons-Configuration,https://github.com/apache/commons-configuration.git
Commons-Crypto,https://github.com/apache/commons-crypto.git
Commons-CSV,https://github.com/apache/commons-csv.git
Commons-Daemon,https://github.com/apache/commons-daemon.git
Commons-DBCP,https://github.com/apache/commons-dbcp.git
Commons-DbUtils,https://github.com/apache/commons-dbutils.git
Commons-Digester,https://github.com/apache/commons-digester.git
Commons-Email,https://github.com/apache/commons-email.git
Commons-Exec,https://github.com/apache/commons-exec.git
Commons-FileUpload,https://github.com/apache/commons-fileupload.git
Commons-Functor,https://github.com/apache/commons-functor.git
Commons-Geometry,https://github.com/apache/commons-geometry.git
Commons-HttpClient,https://github.com/apache/commons-httpclient.git
Commons-Imaging,https://github.com/apache/commons-imaging.git
Commons-IO,https://github.com/apache/commons-io.git
Commons-JCI,https://github.com/apache/commons-jci.git
Commons-JCS,https://github.com/apache/commons-jcs.git
Commons-Jelly,https://github.com/apache/commons-jelly.git
Commons-JEXL,https://github.com/apache/commons-jexl.git
Commons-JXPath,https://github.com/apache/commons-jxpath.git
Commons-Lang,https://github.com/apache/commons-lang.git
Commons-Logging,https://github.com/apache/commons-logging.git
Commons-Math,https://github.com/apache/commons-math.git
Commons-Net,https://github.com/apache/commons-net.git
Commons-Numbers,https://github.com/apache/commons-numbers.git
Commons-OGNL,https://github.com/apache/commons-ognl.git
Commons-Pool,https://github.com/apache/commons-pool.git
Commons-Proxy,https://github.com/apache/commons-proxy.git
Commons-RDF,https://github.com/apache/commons-rdf.git
Commons-RNG,https://github.com/apache/commons-rng.git
Commons-SCXML,https://github.com/apache/commons-scxml.git
