project,repository,status
Beehive,https://github.com/apache/beehive.git,repository no longer on GitHub (Apache Attic)
Commons-HttpClient,https://github.com/apache/commons-httpclient.git,repository no longer on GitHub (Apache Attic)
DeviceMap,https://github.com/apache/devicemap.git,repository no longer on GitHub (Apache Attic)
Excalibur,https://github.com/apache/excalibur.git,repository no longer on GitHub (Apache Attic)
Hivemind,https://github.com/apache/hivemind.git,repository no longer on GitHub (Apache Attic)
Jakarta-Cactus,https://github.com/apache/jakarta-cactus.git,repository no longer on GitHub (Apache Attic)
ORO,https://github.com/apache/jakarta-oro.git,repository no longer on GitHub (Apache Attic)
Regexp,https://github.com/apache/jakarta-regexp.git,repository no longer on GitHub (Apache Attic)
River,https://github.com/apache/river.git,repository no longer on GitHub (Apache Attic)
Sandesha2,https://github.com/apache/axis-axis2-java-sandesha2.git,repository no longer on GitHub (Apache Attic)
Shale,https://github.com/apache/shale.git,repository no longer on GitHub (Apache Attic)
Torque,https://github.com/apache/db-torque.git,repository no longer on GitHub (Apache Attic)
Tuscany,https://github.com/apache/tuscany.git,repository no longer on GitHub (Apache Attic)
Woden,https://github.com/apache/woden.git,repository no longer on GitHub (Apache Attic)
Xindice,https://github.com/apache/xindice.git,repository no longer on GitHub (Apache Attic)
XML-Commons-External,https://github.com/apache/xml-commons-external.git,repository no longer on GitHub (Apache Attic)
XML-Commons-Resolver,https://github.com/apache/xml-commons-resolver.git,repository no longer on GitHub (Apache Attic)
